error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
too,ADV,very,too bad,very bad,21,259,bad,Weather and Temperature,87,12,915,0,44
progress,VERB,improve,progress skill,improve skill,21,56,skill,Knowing and Learning,27,2,96,0,66
make,VERB,have,make fun,have fun,21,536,fun,Entertainment Generally,49,2,4016,7,708
go,VERB,get,go job,get job,21,458,job,"Business, Work, and Employment",27,2,1193,0,1115
join,VERB,attend,join session,attend session,21,828,session,Travel and Visiting,121,5,1077,4,291
need,VERB,require,need student,require student,20,106,student,misc-ap-0,91,15,229,6,24
say,VERB,tell,say friend,tell friend,20,361,friend,Friendship and Enmity,21,2,838,0,248
make,VERB,have,make experience,have experience,20,536,experience,Feeling and Behavior Generally,25,5,4016,1,1063
cought,NOUN,get,cought cold,get cold,20,20,cold,Diseases and Ailments,21,2,23,0,66
give,VERB,have,give effect,have effect,20,81,effect,Causing,38,3,633,2,3733
rich,ADJ,wealthy,rich people,wealthy people,20,31,people,People,49,4,80,6,108
participate,VERB,attend,participate party,attend party,20,47,party,Entertainment Generally,21,2,60,6,150
give,VERB,ask,give question,ask question,19,22,question,Language,20,2,633,0,1278
make,VERB,do,make homework,do homework,19,1073,homework,misc-ap-0,140,74,4016,0,229
join,VERB,attend,join school,attend school,19,828,school,Living Creatures Generally,27,3,1077,1,456
join,VERB,enter,join competition,enter competition,19,37,competition,Sports and Games Generally,38,6,1077,0,27
need,VERB,require,need assistance,require assistance,19,106,assistance,Doing Things,36,4,229,1,33
give,VERB,provide,give opportunity,provide opportunity,17,94,opportunity,"Possibility, Chance, and Necessity",24,5,633,1,304
give,VERB,have,give influence,have influence,17,81,influence,Causing,38,3,633,6,592
take,VERB,have,take time,have time,17,607,time,Time Generally,20,3,2016,7,2555
make,VERB,do,make experiment,do experiment,17,1073,experiment,Science and Technology,30,5,4016,0,50
so,ADV,very,so hard,very hard,16,180,hard,"General, Usual, Unusual, etc",32,8,454,1,575
well,ADV,good,well skill,good skill,16,410,skill,Knowing and Learning,25,6,744,0,19
many,ADJ,numerous,many case,numerous case,16,150,case,Courts of Law and Legal Work,17,2,516,0,30
make,VERB,do,make exercise,do exercise,16,1073,exercise,Sports and Games Generally,17,2,4016,1,31
take,VERB,have,take breakfast,have breakfast,16,607,breakfast,Food Generally,137,12,2016,2,84
get,VERB,understand,get meaning,understand meaning,16,44,meaning,Communication and Information,18,3,3029,0,24
reach,VERB,achieve,reach dream,achieve dream,16,193,dream,Bodily States and Associated Activities,18,2,271,0,15
travel,NOUN,trip,travel last,trip last,16,762,last,Time Generally,32,4,891,0,18
take,VERB,get,take mark,get mark,16,497,mark,Money,26,4,2016,0,92
so,ADV,very,so bad,very bad,16,180,bad,Weather and Temperature,31,5,454,2,44
make,VERB,build,make relationship,build relationship,15,36,relationship,"Cutting, Joining, Breaking, and Destroying",16,2,4016,1,63
make,VERB,have,make relationship,have relationship,15,536,relationship,"Cutting, Joining, Breaking, and Destroying",21,6,4016,1,784
lately,ADV,recently,lately start,recently start,15,165,start,Beginning and Ending,17,3,169,0,13
get,VERB,have,get life,have life,15,941,life,Bodily States and Associated Activities,40,8,3029,1,563
join,VERB,attend,join show,attend show,15,828,show,"Drama, the Theatre, and Show Business",18,4,1077,0,49
good,ADJ,well,good write,well write,15,504,write,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,5,1489,2,23
take,VERB,have,take communication,have communication,14,607,communication,Communication and Information,47,2,2016,4,51
take,VERB,get,take point,get point,14,497,point,Sports and Games Generally,90,8,2016,1,119
make,VERB,have,make time,have time,14,536,time,Time Generally,30,7,4016,1,2555
take,VERB,have,take coffee,have coffee,14,607,coffee,Food Generally,137,12,2016,1,40
watch,VERB,see,watch view,see view,14,522,view,Geography,23,7,641,0,18
strongly,ADV,really,strongly want,really want,14,40,want,Feeling and Behavior Generally,26,4,108,1,103
make,VERB,create,make environment,create environment,14,161,environment,Places,31,9,4016,0,193
image,VERB,imagine,image situation,imagine situation,14,397,situation,"Being, Becoming, and Happening",19,5,412,0,14
pass,VERB,spend,pass day,spend day,14,62,day,Periods of Time and their Measurement,23,6,295,3,550
well,ADV,good,well way,good way,13,410,way,Places,27,7,744,0,246
take,VERB,have,take sleep,have sleep,13,607,sleep,Bodily States and Associated Activities,33,4,2016,0,27
strong,ADJ,heavy,strong rain,heavy rain,13,15,rain,Weather and Temperature,14,2,158,4,919
take,VERB,have,take surgery,have surgery,13,607,surgery,misc-ap-0,101,32,2016,0,270
grow,VERB,improve,grow skill,improve skill,13,20,skill,Knowing and Learning,14,2,102,0,66
enter,VERB,join,enter club,join club,13,162,club,Social Organization in Group and Places,24,7,727,7,91
forth,ADV,fourth,forth day,fourth day,13,103,day,Periods of Time and their Measurement,15,2,105,0,139
take,VERB,spend,take time,spend time,13,19,time,Time Generally,14,2,2016,7,1563
join,VERB,attend,join workshop,attend workshop,13,828,workshop,Science and Technology,16,3,1077,0,53
have,VERB,make,have effort,make effort,13,241,effort,Industry and Work,14,2,2936,0,1373
make,VERB,have,make boyfriend,have boyfriend,12,536,boyfriend,"Courting, Sex, and Marriage",27,7,4016,0,34
hard more,ADV,hard,hard more work,hard work,12,49,work,Doing Things,17,3,49,0,38
make,VERB,get,make card,get card,12,117,card,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",13,2,4016,0,73
help,VERB,assist,help people,assist people,12,172,people,People,21,6,282,2,42
make,VERB,cause,make pollution,cause pollution,12,192,pollution,"Bodily Conditions Relating to Health, Sickness, and Disability",108,7,4016,3,55
show,VERB,express,show opinion,express opinion,12,32,opinion,"Thinking, Judging and Remembering-",17,4,213,3,185
well,ADV,much,well enjoy,much enjoy,12,116,enjoy,Feeling and Behavior Generally,42,3,744,0,14
join,VERB,enter,join contest,enter contest,12,37,contest,Sports and Games Generally,38,6,1077,6,60
little,ADJ,young,little child,young child,12,7,child,People,13,2,323,0,21
funny,ADJ,fun,funny time,fun time,12,206,time,Music and Related Activities,14,3,231,1,11
talk,VERB,speak,talk language,speak language,12,144,language,misc-ap-0,13,2,446,1,252
give,VERB,have,give impact,have impact,12,81,impact,misc-ap-0,23,9,633,0,3046
give,VERB,do,give favor,do favor,12,48,favor,misc-ap-0,19,5,633,0,63
more early,ADV,early,more early get,early get,12,31,get,"Belonging and Owning, Getting and Giving",15,4,33,0,91
get,VERB,take,get test,take test,12,60,test,Science and Technology,13,2,3029,0,390
get,VERB,acquire,get knowledge,acquire knowledge,12,41,knowledge,Knowing and Learning,24,3,3029,8,12
get,VERB,have,get operation,have operation,12,941,operation,Industry and Work,16,5,3029,0,463
take,VERB,have,take meal,have meal,12,607,meal,Food Generally,137,12,2016,0,81
much,ADV,many,much problem,many problem,11,805,problem,"Rightness, Fairness, Purpose, Use, & Strength",42,7,1235,0,20
very,ADV,extremely,very popular,extremely popular,11,163,popular,Social Organization in Group and Places,12,2,2791,0,37
need,VERB,require,need people,require people,11,106,people,People,21,3,229,2,21
image,VERB,imagine,image life,imagine life,11,397,life,Prison and Punishment,12,2,412,0,15
say,VERB,tell,say lie,tell lie,11,361,lie,"Honesty, Loyalty, Trickery, and Deceit",33,2,838,0,75
good,ADJ,ideal,good place,ideal place,11,31,place,Places,77,2,1489,1,22
get,VERB,have,get day,have day,11,941,day,Periods of Time and their Measurement,22,9,3029,0,450
need,VERB,require,need work,require work,11,106,work,Doing Things,36,4,229,2,57
much,ADV,very,much interested,very interested,11,164,interested,"Relaxation, Excitement, Interest, and Surprise",22,8,1235,2,26
make,VERB,take,make opportunity,take opportunity,11,183,opportunity,"Possibility, Chance, and Necessity",17,4,4016,0,188
loose,VERB,lose,loose control,lose control,11,181,control,"Recording Sound, Listening to the Radio, etc",12,2,186,2,82
drink,VERB,have,drink coffee,have coffee,11,21,coffee,Food Generally,14,4,32,2,40
clear,ADJ,clean,clear room,clean room,11,38,room,Parts of Houses,14,4,65,1,15
big,ADJ,major,big hospital,major hospital,11,47,hospital,misc-ap-0,14,4,500,0,30
get,VERB,have,get surgery,have surgery,11,941,surgery,misc-ap-0,94,61,3029,4,270
gain,VERB,earn,gain money,earn money,11,20,money,Money,12,2,88,2,341
make,VERB,have,make life,have life,11,536,life,Bodily States and Associated Activities,18,4,4016,1,563
say,VERB,tell,say teacher,tell teacher,11,361,teacher,misc-ap-0,25,9,838,0,49
good,ADJ,well,good learn,well learn,11,504,learn,Knowing and Learning,48,9,1489,0,31
lately,ADV,recently,lately read,recently read,11,165,read,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",14,4,169,0,15
explain,VERB,tell,explain parent,tell parent,10,17,parent,People,17,3,87,0,125
get,VERB,have,get ability,have ability,10,941,ability,Knowing and Learning,33,8,3029,0,499
know,VERB,hear,know news,hear news,10,112,news,Communication and Information,16,2,1380,4,156
make,VERB,write,make essay,write essay,10,96,essay,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",59,13,4016,0,100
too,ADV,very,too interesting,very interesting,10,259,interesting,Linking and Not Linking,16,4,915,0,198
make,VERB,do,make business,do business,10,1073,business,Language,19,4,4016,1,1597
age,NOUN,people,age young,people young,10,12,young,"Old, New, and Young",14,3,70,0,83
watch,VERB,see,watch lot,see lot,10,522,lot,Places,17,4,641,1,370
so,ADV,very,so much,very much,10,180,much,"Size, Importance, and Availability",21,5,454,2,825
too,ADV,either,too understand,either understand,10,295,understand,Knowing and Learning,48,9,915,0,17
meet,VERB,have,meet accident,have accident,10,44,accident,"Being, Becoming, and Happening",16,4,790,0,122
get,VERB,have,get confidence,have confidence,10,941,confidence,"Possibility, Chance, and Necessity",20,4,3029,0,637
take,VERB,get,take sleep,get sleep,10,497,sleep,Bodily States and Associated Activities,24,2,2016,0,61
so far,ADV,before,so far see,before see,10,47,see,"Thinking, Judging and Remembering-",13,3,66,0,275
bring,VERB,take,bring car,take car,10,506,car,Vehicles and Transport on Land,23,8,699,0,87
enter,VERB,join,enter team,join team,10,162,team,Sports and Games Generally,23,2,727,6,151
good,ADJ,well,good go,well go,10,504,go,misc-ap-0,99,18,1489,0,12
big,ADJ,great,big pressure,great pressure,10,131,pressure,Causing,15,4,500,8,78
strong,ADJ,severe,strong pain,severe pain,10,35,pain,"Bodily Conditions Relating to Health, Sickness, and Disability",13,3,158,1,54
make,VERB,do,make game,do game,10,1073,game,misc-ap-0,140,74,4016,1,47
make,VERB,do,make cooking,do cooking,10,1073,cooking,misc-ap-0,140,74,4016,3,39
say,VERB,tell,say mother,tell mother,10,361,mother,People,25,10,838,0,100
take,VERB,have,take conversation,have conversation,9,607,conversation,"Communicating, mainly by Speaking and Talking",16,6,2016,0,264
join,VERB,attend,join practice,attend practice,9,828,practice,Doing Things,24,3,1077,0,12
maintain,VERB,keep,maintain mind,keep mind,9,24,mind,"Thinking, Judging and Remembering-",10,2,48,0,67
particular,ADJ,specific,particular topic,specific topic,9,10,topic,Language,14,2,41,3,13
travel,NOUN,visit,travel place,visit place,9,38,place,Places,10,2,891,0,58
tell,VERB,give,tell idea,give idea,9,111,idea,"Thinking, Judging and Remembering-",13,3,725,0,68
make,VERB,do,make study,do study,9,1073,study,Knowing and Learning,18,4,4016,1,375
get,VERB,find,get time,find time,9,37,time,Music and Related Activities,10,2,3029,0,113
take,VERB,make,take lot,make lot,9,158,lot,Places,11,3,2016,1,565
pass,VERB,have,pass day,have day,9,23,day,Periods of Time and their Measurement,13,4,295,3,450
take,VERB,get,take picture,get picture,9,497,picture,Communication and Information,29,11,2016,1,167
go,VERB,do,go work,do work,9,57,work,"Business, Work, and Employment",16,2,1193,0,2367
get,VERB,have,get dream,have dream,9,941,dream,Bodily States and Associated Activities,40,8,3029,4,171
well,ADV,much,well love,much love,9,116,love,Linking and Not Linking,43,4,744,0,77
little,ADJ,small,little amount,small amount,9,86,amount,"Size, Importance, and Availability",13,3,323,0,753
have,VERB,do,have exercise,do exercise,9,253,exercise,Sports and Games Generally,11,3,2936,7,31
little,ADJ,small,little part,small part,9,86,part,Objects Generally,16,3,323,1,415
so,ADV,too,so lazy,too lazy,9,134,lazy,Bodily States and Associated Activities,10,2,454,0,17
big,ADJ,great,big fun,great fun,9,131,fun,Entertainment Generally,10,2,500,0,57
take,VERB,get,take grade,get grade,8,497,grade,"Resemblance, Difference, and Change",11,2,2016,2,50
say,VERB,give,say reason,give reason,8,31,reason,"Thinking, Judging and Remembering-",11,3,838,0,654
big,ADJ,large,big proportion,large proportion,8,123,proportion,Mathematics,16,2,500,0,88
give,VERB,do,give damage,do damage,8,48,damage,"Cutting, Joining, Breaking, and Destroying",10,2,633,0,672
join,VERB,attend,join wedding,attend wedding,8,828,wedding,"Courting, Sex, and Marriage",11,3,1077,0,49
make,VERB,create,make image,create image,8,161,image,Arts and Crafts,15,5,4016,1,130
make,VERB,have,make people,have people,8,536,people,People,81,13,4016,1,1287
listen,VERB,hear,listen story,hear story,8,152,story,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",9,2,170,0,158
effect,NOUN,affect,effect people,affect people,8,128,people,People,13,5,137,2,181
late,ADJ,last,late game,last game,8,44,game,misc-ap-0,9,2,61,2,167
join,VERB,attend,join lecture,attend lecture,8,828,lecture,"Communicating, mainly by Speaking and Talking",25,5,1077,0,17
too,ADV,so,too sad,so sad,8,283,sad,Happiness and Sadness,22,8,915,5,54
gentle,ADJ,nice,gentle people,nice people,8,56,people,People,20,6,69,6,76
take,VERB,play,take part,play part,8,17,part,"Drama, the Theatre, and Show Business",16,2,2016,1,603
do,VERB,have,do people,have people,8,316,people,People,12,5,1814,2,1287
big,ADJ,large,big number,large number,8,123,number,Mathematics,16,2,500,0,279
few,ADJ,little,few food,little food,8,160,food,Food Generally,14,2,219,0,27
well,ADV,superior,well ability,superior ability,8,85,ability,Knowing and Learning,19,4,744,1,11
quite,ADV,quiet,quite place,quiet place,8,63,place,"Putting and Taking, Pulling and Pushing",10,3,119,0,29
make,VERB,bring,make joy,bring joy,8,36,joy,Happiness and Sadness,16,4,4016,0,34
make,VERB,give,make answer,give answer,8,337,answer,"Communicating, mainly by Speaking and Talking",105,12,4016,0,219
very hard,ADV,diligently,very hard work,diligently work,8,4,work,Doing Things,9,2,5,0,27
catch,VERB,get,catch cold,get cold,8,34,cold,Weather and Temperature,9,2,232,3,66
bad,ADJ,unfortunate,bad situation,unfortunate situation,8,14,situation,"Being, Becoming, and Happening",11,2,173,1,26
same,ADJ,similar,same interest,similar interest,8,31,interest,Entertainment Generally,10,2,62,0,14
everywhere,ADV,anywhere,everywhere go,anywhere go,8,49,go,misc-ap-0,13,5,56,4,230
very,ADV,absolutely,very essential,absolutely essential,8,121,essential,"Possibility, Chance, and Necessity",19,4,2791,3,63
tell,VERB,express,tell opinion,express opinion,8,45,opinion,"Thinking, Judging and Remembering-",19,3,725,0,185
say,VERB,make,say complaint,make complaint,8,41,complaint,"Communicating, mainly by Speaking and Talking",21,8,838,0,88
psychological,ADJ,mental,psychological condition,mental condition,8,8,condition,"Bodily Conditions Relating to Health, Sickness, and Disability",12,3,9,0,31
need,VERB,require,need space,require space,8,106,space,Places,12,3,229,5,14
sub,VERB,subtitle,sub english,subtitle english,8,11,english,misc-ap-0,9,2,11,0,27
too,ADV,very,too simple,very simple,8,259,simple,"General, Usual, Unusual, etc",29,10,915,9,21
reach,VERB,achieve,reach aim,achieve aim,8,193,aim,"Rightness, Fairness, Purpose, Use, & Strength",136,3,271,4,37
too,ADV,very,too sad,very sad,8,259,sad,Happiness and Sadness,15,6,915,5,193
entry,NOUN,enter,entry race,enter race,8,82,race,Sports and Games Generally,18,6,108,1,180
make,VERB,have,make influence,have influence,8,536,influence,Causing,41,8,4016,0,592
little,ADJ,quite,little far,quite far,7,26,far,misc-ap-0,8,2,323,1,14
forth,ADV,fourth,forth grade,fourth grade,7,103,grade,"Resemblance, Difference, and Change",9,2,105,0,71
lean,VERB,learn,lean lot,learn lot,7,410,lot,"Fullness, Heaviness, Thickness, Stiffness, Roughness, etc",8,2,426,0,207
last,ADJ,late,last news,late news,7,21,news,Communication and Information,10,4,97,0,63
rise,VERB,raise,rise hand,raise hand,7,81,hand,Food,9,2,120,0,136
say,VERB,tell,say doctor,tell doctor,7,361,doctor,misc-ap-0,25,9,838,0,82
listen,VERB,hear,listen news,hear news,7,152,news,Communication and Information,14,2,170,0,156
listen,VERB,hear,listen voice,hear voice,7,152,voice,Language,19,6,170,0,325
listen,VERB,hear,listen word,hear word,7,152,word,"Communicating, mainly by Speaking and Talking",15,7,170,0,147
ride,VERB,catch,ride bus,catch bus,7,14,bus,Vehicles and Transport on Land,12,3,129,1,37
watch,VERB,see,watch face,see face,7,522,face,misc-ap-0,68,30,641,3,161
too,ADV,very,too much,very much,7,259,much,"Size, Importance, and Availability",17,7,915,3,825
more hard,ADV,hard,more hard work,hard work,7,65,work,Doing Things,18,4,65,0,38
go,VERB,attend,go university,attend university,7,12,university,misc-ap-0,8,2,1193,0,37
hold,VERB,have,hold attitude,have attitude,7,56,attitude,Feeling and Behavior Generally,11,4,120,5,201
get,VERB,have,get tea,have tea,7,941,tea,Food Generally,39,15,3029,0,33
so far,ADV,before,so far have,before have,7,47,have,Commerce,11,4,66,0,407
get,VERB,have,get girlfriend,have girlfriend,7,941,girlfriend,"Courting, Sex, and Marriage",18,9,3029,7,36
make,VERB,have,make discussion,have discussion,7,536,discussion,"Communicating, mainly by Speaking and Talking",68,14,4016,0,455
make,VERB,have,make girlfriend,have girlfriend,7,536,girlfriend,"Courting, Sex, and Marriage",27,7,4016,0,36
somewhere,ADV,anywhere,somewhere go,anywhere go,7,20,go,misc-ap-0,8,2,21,0,230
watch,VERB,see,watch people,see people,7,522,people,People,16,7,641,0,455
meet,VERB,see,meet movie,see movie,7,222,movie,Communication and Information,9,3,790,3,233
make,VERB,have,make accident,have accident,7,536,accident,"Being, Becoming, and Happening",26,9,4016,0,122
much,ADV,more,much time,more time,7,34,time,Music and Related Activities,8,2,1235,0,26
watch,VERB,see,watch tree,see tree,7,522,tree,Kinds and Parts of Plants,18,4,641,0,41
produce,VERB,have,produce effect,have effect,7,11,effect,Causing,10,4,31,1,3733
take,VERB,have,take class,have class,7,607,class,"Being, Becoming, and Happening",15,8,2016,3,102
go,VERB,do,go job,do job,7,57,job,"Business, Work, and Employment",16,2,1193,0,3471
cheap,ADJ,cheaply,cheap buy,cheaply buy,7,30,buy,Commerce,15,6,50,4,34
make,VERB,give,make concert,give concert,7,337,concert,Music and Related Activities,20,2,4016,6,67
spend,VERB,have,spend fun,have fun,7,565,fun,Entertainment Generally,9,2,768,0,708
go,VERB,get,go work,get work,6,458,work,Industry and Work,7,2,1193,0,166
good,ADJ,well,good understand,well understand,6,504,understand,Knowing and Learning,48,9,1489,0,22
grow up,VERB,improve,grow up skill,improve skill,6,11,skill,Knowing and Learning,7,2,40,0,66
do,VERB,make,do donation,make donation,6,474,donation,"Belonging and Owning, Getting and Giving",38,8,1814,0,361
too,ADV,very,too good,very good,6,259,good,Weather and Temperature,87,12,915,2,2062
so,ADV,too,so shy,too shy,6,134,shy,Fear and Courage,8,3,454,0,11
specially,ADV,especially,specially have,especially have,6,190,have,Commerce,13,7,190,0,123
take,VERB,have,take lot,have lot,6,607,lot,Places,10,5,2016,1,2199
so,ADV,thus,so have,thus have,6,12,have,Causing,25,2,454,2,29
tell,VERB,give,tell recommendation,give recommendation,6,111,recommendation,"Communicating, mainly by Speaking and Talking",53,8,725,0,20
send,VERB,spend,send time,spend time,6,14,time,Time Generally,7,2,71,0,1563
do,VERB,have,do discussion,have discussion,6,316,discussion,"Communicating, mainly by Speaking and Talking",36,7,1814,0,455
cook,NOUN,prepare,cook sauce,prepare sauce,6,14,sauce,Food,7,2,49,5,12
get,VERB,become,get student,become student,6,121,student,misc-ap-0,17,11,3029,0,23
take,VERB,have,take day,have day,6,607,day,Periods of Time and their Measurement,9,4,2016,1,450
get,VERB,have,get success,have success,6,941,success,Doing Things,9,4,3029,0,499
forth,ADV,fourth,forth floor,fourth floor,6,103,floor,Parts of Houses,10,3,105,0,77
forth,ADV,fourth,forth time,fourth time,6,103,time,Music and Related Activities,8,3,105,0,172
join,VERB,attend,join gathering,attend gathering,6,828,gathering,Substances and MaterialsGenerally,7,2,1077,5,39
very,ADV,really,very nice,really nice,6,2225,nice,Good and Evil,385,14,2791,1,72
day 's,NOUN,day,day 's few,day few,6,30,few,"Size, Importance, and Availability",8,2,30,0,110
gather,VERB,attract,gather student,attract student,6,13,student,misc-ap-0,10,3,27,9,64
use,VERB,spend,use day,spend day,6,106,day,Periods of Time and their Measurement,12,3,559,2,550
few,ADJ,little,few water,little water,6,160,water,Specific Substance and Materials,9,4,219,0,54
very,ADV,absolutely,very necessary,absolutely necessary,6,121,necessary,"Possibility, Chance, and Necessity",19,4,2791,6,84
practice,VERB,do,practice dance,do dance,6,123,dance,Music and Related Activities,22,7,271,1,41
make,VERB,do,make shopping,do shopping,6,1073,shopping,Shopping and General Expenses,7,2,4016,0,80
cause,VERB,course,cause have,course have,6,167,have,Commerce,20,8,303,0,13
meet,VERB,see,meet dog,see dog,6,222,dog,Animals/ Mammals,9,4,790,2,26
prove,VERB,improve,prove skill,improve skill,6,21,skill,Knowing and Learning,7,2,42,2,66
person,NOUN,people,person most,people most,6,1827,most,"Size, Importance, and Availability",228,14,1888,0,15
well,ADV,good,well result,good result,6,410,result,Sports and Games Generally,12,3,744,1,143
big,ADJ,great,big pleasure,great pleasure,6,131,pleasure,Happiness and Sadness,18,9,500,1,63
many,ADJ,numerous,many opportunity,numerous opportunity,6,150,opportunity,"Possibility, Chance, and Necessity",11,2,516,3,11
person,NOUN,people,person dead,people dead,6,1827,dead,Life and Living Things,40,4,1888,0,58
make,VERB,have,make ending,have ending,6,536,ending,misc-ap-0,76,42,4016,4,58
