錯誤字,錯誤搭配,正確搭配,此錯誤-正確搭配總錯誤次數,此錯誤-正確總錯誤次數,此搭配詞,此搭配詞分類,此錯誤正確累積此分類錯誤總次數,此錯誤正確累積此搭配詞分類唯一次數,此錯誤總次次數
good,good programme,excellent programme,14,31,programme,Communication and Information,24,3,1559
good,good quality,excellent quality,2,31,quality,"Being, Becoming, and Happening",2,1,1559
good,good program,excellent program,5,31,program,Mathematics,19,2,1559
good,good program,excellent program,5,31,program,Communication and Information,24,3,1559
good,good drink,excellent drink,1,31,drink,Food Generally,1,1,1559
good,good health,excellent health,2,31,health,"Bodily Conditions Relating to Health, Sickness, and Disability",2,1,1559
good,good opportunity,excellent opportunity,1,31,opportunity,"Possibility, Chance, and Necessity",1,1,1559
good,good movie,excellent movie,5,31,movie,Communication and Information,24,3,1559
good,good wish,excellent wish,1,31,wish,Feeling and Behavior Generally,1,1,1559
good,good application,excellent application,1,31,application,"Communicating, mainly by Speaking and Talking",1,1,1559
good,good application,excellent application,1,31,application,Making things,1,1,1559
good,good facility,excellent facility,1,31,facility,misc-ap-0,1,1,1559
good,good restaurant,excellent restaurant,1,31,restaurant,Places and People Associated with Food and Drink,1,1,1559
good,good one,right one,2,14,one,General Grammatical Words,2,1,1559
good,good one,right one,2,14,one,Numbers and Quantities,2,1,1559
good,good colour,right colour,1,14,colour,"The Skin, the Complexion, and the Hair",2,2,1559
good,good colour,right colour,1,14,colour,Light and Color,2,2,1559
good,good color,right color,1,14,color,"The Skin, the Complexion, and the Hair",2,2,1559
good,good color,right color,1,14,color,Light and Color,2,2,1559
good,good length,right length,1,14,length,Measurement,1,1,1559
good,good way,right way,3,14,way,Arts and Crafts,3,1,1559
good,good way,right way,3,14,way,Places,4,2,1559
good,good temperature,right temperature,1,14,temperature,Weather and Temperature,1,1,1559
good,good track,right track,1,14,track,Tools,1,1,1559
good,good track,right track,1,14,track,"Recording Sound, Listening to the Radio, etc",1,1,1559
good,good track,right track,1,14,track,Sports and Games Generally,1,1,1559
good,good track,right track,1,14,track,Vehicles and Transport on Land,1,1,1559
good,good track,right track,1,14,track,Places,4,2,1559
good,good track,right track,1,14,track,"Showing, Hiding, Finding, Saving, and Similar Words",1,1,1559
good,good moment,right moment,1,14,moment,Time Generally,2,2,1559
good,good term,right term,1,14,term,Language,1,1,1559
good,good wording,right wording,1,14,wording,misc-ap-0,1,1,1559
good,good thing,right thing,1,14,thing,Objects Generally,1,1,1559
good,good model,right model,1,14,model,Making things,1,1,1559
good,good model,right model,1,14,model,Clothes and Personal Belongings,1,1,1559
good,good time,right time,1,14,time,Music and Related Activities,1,1,1559
good,good time,right time,1,14,time,Time Generally,2,2,1559
good,good direction,right direction,1,14,direction,The Universe,1,1,1559
good,good direction,right direction,1,14,direction,Causing,1,1,1559
good,good competition,intense competition,4,1,competition,Sports and Games Generally,4,1,1559
good,good activity,favourite activity,3,49,activity,Entertainment Generally,13,3,1559
good,good activity,favourite activity,3,49,activity,Doing Things,3,1,1559
good,good way,favourite way,7,49,way,Arts and Crafts,9,3,1559
good,good way,favourite way,7,49,way,Places,11,2,1559
good,good sport,favourite sport,3,49,sport,Clothes and Personal Belongings,4,2,1559
good,good sport,favourite sport,3,49,sport,Entertainment Generally,13,3,1559
good,good subject,favourite subject,3,49,subject,Social Organization in Group and Places,5,3,1559
good,good subject,favourite subject,3,49,subject,Language,4,2,1559
good,good subject,favourite subject,3,49,subject,Grammar,3,1,1559
good,good comedian,favourite comedian,1,49,comedian,"Drama, the Theatre, and Show Business",3,3,1559
good,good genre,favourite genre,1,49,genre,misc-ap-0,4,4,1559
good,good drama,favourite drama,1,49,drama,"Drama, the Theatre, and Show Business",3,3,1559
good,good hobby,favourite hobby,7,49,hobby,Entertainment Generally,13,3,1559
good,good chicken,favourite chicken,1,49,chicken,Birds,1,1,1559
good,good chicken,favourite chicken,1,49,chicken,Food,1,1,1559
good,good band,favourite band,1,49,band,Social Organization in Group and Places,5,3,1559
good,good band,favourite band,1,49,band,Objects Generally,1,1,1559
good,good band,favourite band,1,49,band,Music and Related Activities,6,4,1559
good,good style,favourite style,1,49,style,Kinds and Parts of Plants,1,1,1559
good,good style,favourite style,1,49,style,Clothes and Personal Belongings,4,2,1559
good,good style,favourite style,1,49,style,Language,4,2,1559
good,good style,favourite style,1,49,style,Making things,1,1,1559
good,good style,favourite style,1,49,style,Arts and Crafts,9,3,1559
good,good colour,favourite colour,1,49,colour,"The Skin, the Complexion, and the Hair",1,1,1559
good,good colour,favourite colour,1,49,colour,Light and Color,1,1,1559
good,good season,favourite season,7,49,season,The Preparation and Quality of Food,7,1,1559
good,good season,favourite season,7,49,season,"Old, New, and Young",7,1,1559
good,good season,favourite season,7,49,season,Periods of Time and their Measurement,7,1,1559
good,good music,favourite music,1,49,music,misc-ap-0,4,4,1559
good,good singer,favourite singer,2,49,singer,Music and Related Activities,6,4,1559
good,good field,favourite field,1,49,field,"Warfare, Defense, and the Army",1,1,1559
good,good field,favourite field,1,49,field,Sports and Games Generally,2,2,1559
good,good team,favourite team,1,49,team,Sports and Games Generally,2,2,1559
good,good city,favourite city,1,49,city,Social Organization in Group and Places,5,3,1559
good,good game,favourite game,1,49,game,misc-ap-0,4,4,1559
good,good enjoyment,favourite enjoyment,1,49,enjoyment,Happiness and Sadness,1,1,1559
good,good place,favourite place,4,49,place,"Putting and Taking, Pulling and Pushing",4,1,1559
good,good place,favourite place,4,49,place,Travel and Visiting,4,1,1559
good,good place,favourite place,4,49,place,Places,11,2,1559
good,good song,favourite song,2,49,song,Music and Related Activities,6,4,1559
good,good cafe,favourite cafe,1,49,cafe,misc-ap-0,4,4,1559
good,good character,favourite character,1,49,character,People,1,1,1559
good,good character,favourite character,1,49,character,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,1559
good,good character,favourite character,1,49,character,"Drama, the Theatre, and Show Business",3,3,1559
good,good character,favourite character,1,49,character,"Being, Becoming, and Happening",1,1,1559
good,good movie,favourite movie,3,49,movie,Communication and Information,3,1,1559
good,good artist,favourite artist,1,49,artist,Arts and Crafts,9,3,1559
good,good artist,favourite artist,1,49,artist,Music and Related Activities,6,4,1559
good,good author,favourite author,1,49,author,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",2,2,1559
good,good one,favourite one,2,49,one,General Grammatical Words,2,1,1559
good,good one,favourite one,2,49,one,Numbers and Quantities,2,1,1559
good,good dish,favourite dish,1,49,dish,Food Generally,1,1,1559
good,good dish,favourite dish,1,49,dish,Containers,1,1,1559
good,good pay,well pay,2,504,pay,"Banking, Wealth, and Investment",3,2,1559
good,good pay,well pay,2,504,pay,Commerce,23,8,1559
good,good paidat,well paidat,1,504,paidat,misc-ap-0,99,18,1559
good,good parent,well parent,2,504,parent,People,5,3,1559
good,good do,well do,65,504,do,misc-ap-0,99,18,1559
good,good result,well result,1,504,result,Sports and Games Generally,18,11,1559
good,good result,well result,1,504,result,Causing,11,5,1559
good,good speak,well speak,39,504,speak,"Communicating, mainly by Speaking and Talking",41,3,1559
good,good organized,well organized,1,504,organized,misc-ap-0,99,18,1559
good,good as,well as,72,504,as,"Resemblance, Difference, and Change",73,2,1559
good,good flow,well flow,1,504,flow,Electricity and Electrical Equipment,4,2,1559
good,good flow,well flow,1,504,flow,Geography,1,1,1559
good,good flow,well flow,1,504,flow,"Moving, Coming, and going",16,11,1559
good,good pitch,well pitch,1,504,pitch,Specific Substance and Materials,6,5,1559
good,good pitch,well pitch,1,504,pitch,Music and Related Activities,34,9,1559
good,good pitch,well pitch,1,504,pitch,Sports and Games Generally,18,11,1559
good,good score,well score,4,504,score,"Courting, Sex, and Marriage",6,3,1559
good,good score,well score,4,504,score,Numbers and Quantities,5,2,1559
good,good score,well score,4,504,score,Music and Related Activities,34,9,1559
good,good score,well score,4,504,score,Sports and Games Generally,18,11,1559
good,good sing,well sing,9,504,sing,Music and Related Activities,34,9,1559
good,good act,well act,4,504,act,Law and Order Generally,7,3,1559
good,good act,well act,4,504,act,Feeling and Behavior Generally,32,5,1559
good,good act,well act,4,504,act,"Drama, the Theatre, and Show Business",21,5,1559
good,good act,well act,4,504,act,Doing Things,41,10,1559
good,good understand,well understand,6,504,understand,Kindness and Unkindness,6,1,1559
good,good understand,well understand,6,504,understand,Knowing and Learning,48,9,1559
good,good play,well play,12,504,play,Entertainment Generally,12,1,1559
good,good play,well play,12,504,play,Music and Related Activities,34,9,1559
good,good play,well play,12,504,play,"Drama, the Theatre, and Show Business",21,5,1559
good,good play,well play,12,504,play,Children's Games and Toys,12,1,1559
good,good work,well work,17,504,work,Industry and Work,22,4,1559
good,good work,well work,17,504,work,"Business, Work, and Employment",20,2,1559
good,good work,well work,17,504,work,Doing Things,41,10,1559
good,good taste,well taste,3,504,taste,misc-ap-0,99,18,1559
good,good perform,well perform,3,504,perform,Music and Related Activities,34,9,1559
good,good perform,well perform,3,504,perform,Doing Things,41,10,1559
good,good operate,well operate,1,504,operate,Industry and Work,22,4,1559
good,good write,well write,15,504,write,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,5,1559
good,good use,well use,6,504,use,Making things,16,9,1559
good,good use,well use,6,504,use,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good treat,well treat,10,504,treat,Feeling and Behavior Generally,32,5,1559
good,good treat,well treat,10,504,treat,Happiness and Sadness,11,2,1559
good,good treat,well treat,10,504,treat,Commerce,23,8,1559
good,good locate,well locate,2,504,locate,"Putting and Taking, Pulling and Pushing",5,3,1559
good,good soon,well soon,6,504,soon,misc-ap-0,99,18,1559
good,good know,well know,13,504,know,Knowing and Learning,48,9,1559
good,good girlfriend,well girlfriend,1,504,girlfriend,"Courting, Sex, and Marriage",6,3,1559
good,good enough,well enough,13,504,enough,"Size, Importance, and Availability",13,1,1559
good,good make,well make,1,504,make,"Courting, Sex, and Marriage",6,3,1559
good,good make,well make,1,504,make,The Preparation and Quality of Food,6,4,1559
good,good make,well make,1,504,make,Making things,16,9,1559
good,good make,well make,1,504,make,Causing,11,5,1559
good,good make,well make,1,504,make,Mathematics,4,2,1559
good,good make,well make,1,504,make,Life and Living Things,9,4,1559
good,good get,well get,3,504,get,"Belonging and Owning, Getting and Giving",14,6,1559
good,good get,well get,3,504,get,Knowing and Learning,48,9,1559
good,good get,well get,3,504,get,Mathematics,4,2,1559
good,good get,well get,3,504,get,Commerce,23,8,1559
good,good get,well get,3,504,get,"Moving, Coming, and going",16,11,1559
good,good get,well get,3,504,get,"Being, Becoming, and Happening",11,6,1559
good,good get,well get,3,504,get,Causing,11,5,1559
good,good discipline,well discipline,1,504,discipline,Knowing and Learning,48,9,1559
good,good discipline,well discipline,1,504,discipline,"Fullness, Heaviness, Thickness, Stiffness, Roughness, etc",2,2,1559
good,good learn,well learn,11,504,learn,Knowing and Learning,48,9,1559
good,good dance,well dance,2,504,dance,Music and Related Activities,34,9,1559
good,good sell,well sell,2,504,sell,Commerce,23,8,1559
good,good feel,well feel,8,504,feel,Feeling and Behavior Generally,32,5,1559
good,good be,well be,4,504,be,Life and Living Things,9,4,1559
good,good be,well be,4,504,be,"Being, Becoming, and Happening",11,6,1559
good,good be,well be,4,504,be,"Belonging and Owning, Getting and Giving",14,6,1559
good,good be,well be,4,504,be,Causing,11,5,1559
good,good painter,well painter,1,504,painter,Specific Substance and Materials,6,5,1559
good,good painter,well painter,1,504,painter,Arts and Crafts,5,3,1559
good,good go,well go,10,504,go,misc-ap-0,99,18,1559
good,good help,well help,1,504,help,Doing Things,41,10,1559
good,good player,well player,3,504,player,"Drama, the Theatre, and Show Business",21,5,1559
good,good player,well player,3,504,player,Sports and Games Generally,18,11,1559
good,good boy,well boy,2,504,boy,People,5,3,1559
good,good shoot,well shoot,1,504,shoot,Sports and Games Generally,18,11,1559
good,good shoot,well shoot,1,504,shoot,"Moving, Coming, and going",16,11,1559
good,good shoot,well shoot,1,504,shoot,Kinds and Parts of Plants,1,1,1559
good,good study,well study,11,504,study,Knowing and Learning,48,9,1559
good,good study,well study,11,504,study,Parts of Houses,11,1,1559
good,good manage,well manage,3,504,manage,Doing Things,41,10,1559
good,good service,well service,2,504,service,"Belonging and Owning, Getting and Giving",14,6,1559
good,good service,well service,2,504,service,Vehicles and Transport on Land,3,2,1559
good,good service,well service,2,504,service,Social Classification and Situation,2,1,1559
good,good spend,well spend,1,504,spend,Commerce,23,8,1559
good,good spend,well spend,1,504,spend,Time Generally,3,3,1559
good,good paint,well paint,2,504,paint,Specific Substance and Materials,6,5,1559
good,good paint,well paint,2,504,paint,Arts and Crafts,5,3,1559
good,good fight,well fight,1,504,fight,"Warfare, Defense, and the Army",3,2,1559
good,good time,well time,1,504,time,Music and Related Activities,34,9,1559
good,good time,well time,1,504,time,Time Generally,3,3,1559
good,good finish,well finish,1,504,finish,Beginning and Ending,5,4,1559
good,good practice,well practice,1,504,practice,Doing Things,41,10,1559
good,good behave,well behave,8,504,behave,Feeling and Behavior Generally,32,5,1559
good,good behave,well behave,8,504,behave,Doing Things,41,10,1559
good,good turn,well turn,1,504,turn,"Bodily Conditions Relating to Health, Sickness, and Disability",4,4,1559
good,good turn,well turn,1,504,turn,The Preparation and Quality of Food,6,4,1559
good,good turn,well turn,1,504,turn,Making things,16,9,1559
good,good turn,well turn,1,504,turn,"Drama, the Theatre, and Show Business",21,5,1559
good,good turn,well turn,1,504,turn,"Moving, Coming, and going",16,11,1559
good,good turn,well turn,1,504,turn,"Possibility, Chance, and Necessity",2,2,1559
good,good turn,well turn,1,504,turn,Actions and Positions,2,2,1559
good,good read,well read,5,504,read,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,5,1559
good,good live,well live,3,504,live,Life and Living Things,9,4,1559
good,good live,well live,3,504,live,Residence,3,1,1559
good,good live,well live,3,504,live,Electricity and Electrical Equipment,4,2,1559
good,good sleep,well sleep,4,504,sleep,Bodily States and Associated Activities,5,2,1559
good,good sale,well sale,1,504,sale,Commerce,23,8,1559
good,good concentrate,well concentrate,1,504,concentrate,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good job,well job,3,504,job,"Business, Work, and Employment",20,2,1559
good,good way,well way,2,504,way,Arts and Crafts,5,3,1559
good,good way,well way,2,504,way,Places,3,2,1559
good,good start,well start,2,504,start,Beginning and Ending,5,4,1559
good,good kick,well kick,1,504,kick,Happiness and Sadness,11,2,1559
good,good kick,well kick,1,504,kick,"Cutting, Joining, Breaking, and Destroying",1,1,1559
good,good keep,well keep,2,504,keep,Law and Order Generally,7,3,1559
good,good keep,well keep,2,504,keep,"Belonging and Owning, Getting and Giving",14,6,1559
good,good keep,well keep,2,504,keep,Commerce,23,8,1559
good,good keep,well keep,2,504,keep,Doing Things,41,10,1559
good,good keep,well keep,2,504,keep,"Showing, Hiding, Finding, Saving, and Similar Words",2,1,1559
good,good keep,well keep,2,504,keep,Architecture and Kinds of Houses and Buildings,2,1,1559
good,good ability,well ability,1,504,ability,Knowing and Learning,48,9,1559
good,good mark,well mark,1,504,mark,Money,2,2,1559
good,good eat,well eat,3,504,eat,Food Generally,6,3,1559
good,good shape,well shape,1,504,shape,Making things,16,9,1559
good,good skill,well skill,1,504,skill,Knowing and Learning,48,9,1559
good,good heat,well heat,1,504,heat,Sports and Games Generally,18,11,1559
good,good heat,well heat,1,504,heat,Weather and Temperature,1,1,1559
good,good think,well think,1,504,think,"Thinking, Judging and Remembering-",5,3,1559
good,good become,well become,1,504,become,Linking and Not Linking,2,2,1559
good,good become,well become,1,504,become,"Being, Becoming, and Happening",11,6,1559
good,good run,well run,2,504,run,Government,2,1,1559
good,good run,well run,2,504,run,Causing,11,5,1559
good,good run,well run,2,504,run,Politics and Election,2,1,1559
good,good run,well run,2,504,run,Industry and Work,22,4,1559
good,good run,well run,2,504,run,Sports and Games Generally,18,11,1559
good,good run,well run,2,504,run,"Moving, Coming, and going",16,11,1559
good,good come,well come,3,504,come,"Moving, Coming, and going",16,11,1559
good,good storyteller,well storyteller,1,504,storyteller,misc-ap-0,99,18,1559
good,good language,well language,1,504,language,misc-ap-0,99,18,1559
good,good remember,well remember,3,504,remember,"Thinking, Judging and Remembering-",5,3,1559
good,good person,well person,1,504,person,Body Generally,2,2,1559
good,good person,well person,1,504,person,People,5,3,1559
good,good person,well person,1,504,person,Grammar,1,1,1559
good,good condition,well condition,1,504,condition,"Bodily Conditions Relating to Health, Sickness, and Disability",4,4,1559
good,good condition,well condition,1,504,condition,"Being, Becoming, and Happening",11,6,1559
good,good produce,well produce,1,504,produce,Life and Living Things,9,4,1559
good,good produce,well produce,1,504,produce,Making things,16,9,1559
good,good produce,well produce,1,504,produce,"Drama, the Theatre, and Show Business",21,5,1559
good,good on,well on,2,504,on,Sports and Games Generally,18,11,1559
good,good explain,well explain,1,504,explain,"Communicating, mainly by Speaking and Talking",41,3,1559
good,good explain,well explain,1,504,explain,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good change,well change,1,504,change,"Belonging and Owning, Getting and Giving",14,6,1559
good,good change,well change,1,504,change,Making things,16,9,1559
good,good change,well change,1,504,change,Money,2,2,1559
good,good change,well change,1,504,change,"Moving, Coming, and going",16,11,1559
good,good before,well before,1,504,before,misc-ap-0,99,18,1559
good,good card,well card,1,504,card,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,5,1559
good,good card,well card,1,504,card,Specific Substance and Materials,6,5,1559
good,good card,well card,1,504,card,Indoor Games,3,2,1559
good,good cook,well cook,3,504,cook,The Preparation and Quality of Food,6,4,1559
good,good cook,well cook,3,504,cook,Places and People Associated with Food and Drink,3,1,1559
good,good one,well one,1,504,one,General Grammatical Words,1,1,1559
good,good one,well one,1,504,one,Numbers and Quantities,5,2,1559
good,good prepared,well prepared,1,504,prepared,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good t,well t,1,504,t,misc-ap-0,99,18,1559
good,good translator,well translator,2,504,translator,Language,2,1,1559
good,good complete,well complete,1,504,complete,Beginning and Ending,5,4,1559
good,good complete,well complete,1,504,complete,"Fullness, Heaviness, Thickness, Stiffness, Roughness, etc",2,2,1559
good,good ear,well ear,1,504,ear,Parts of Animals,1,1,1559
good,good ear,well ear,1,504,ear,Animals/ Mammals,1,1,1559
good,good ear,well ear,1,504,ear,The Head and the Face,1,1,1559
good,good ear,well ear,1,504,ear,Bodily States and Associated Activities,5,2,1559
good,good performance,well performance,1,504,performance,Music and Related Activities,34,9,1559
good,good performance,well performance,1,504,performance,Doing Things,41,10,1559
good,good feed,well feed,1,504,feed,Food Generally,6,3,1559
good,good feed,well feed,1,504,feed,Specific Substance and Materials,6,5,1559
good,good annotated,well annotated,1,504,annotated,misc-ap-0,99,18,1559
good,good friend,well friend,2,504,friend,Friendship and Enmity,2,1,1559
good,good record,well record,1,504,record,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,5,1559
good,good record,well record,1,504,record,"Recording Sound, Listening to the Radio, etc",1,1,1559
good,good pass,well pass,1,504,pass,Law and Order Generally,7,3,1559
good,good pass,well pass,1,504,pass,Time Generally,3,3,1559
good,good pass,well pass,1,504,pass,"Moving, Coming, and going",16,11,1559
good,good pass,well pass,1,504,pass,Places,3,2,1559
good,good pass,well pass,1,504,pass,Doing Things,41,10,1559
good,good jesus'teaching,well jesus'teaching,1,504,jesus'teaching,misc-ap-0,99,18,1559
good,good in,well in,3,504,in,Measurement,3,1,1559
good,good end,well end,1,504,end,Beginning and Ending,5,4,1559
good,good end,well end,1,504,end,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good end,well end,1,504,end,Cigarettes and Drugs,1,1,1559
good,good sound,well sound,1,504,sound,"Bodily Conditions Relating to Health, Sickness, and Disability",4,4,1559
good,good sound,well sound,1,504,sound,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good ski,well ski,2,504,ski,misc-ap-0,99,18,1559
good,good body,well body,1,504,body,Body Generally,2,2,1559
good,good body,well body,1,504,body,"The Trunk, Arms, and",2,2,1559
good,good body,well body,1,504,body,Body Overall,1,1,1559
good,good body,well body,1,504,body,Social Organization in Group and Places,1,1,1559
good,good body,well body,1,504,body,"Equipment, Machines, and Instruments",1,1,1559
good,good manager,well manager,1,504,manager,misc-ap-0,99,18,1559
good,good take,well take,2,504,take,"Warfare, Defense, and the Army",3,2,1559
good,good take,well take,2,504,take,"Belonging and Owning, Getting and Giving",14,6,1559
good,good take,well take,2,504,take,Food Generally,6,3,1559
good,good take,well take,2,504,take,Feeling and Behavior Generally,32,5,1559
good,good take,well take,2,504,take,Indoor Games,3,2,1559
good,good take,well take,2,504,take,"Putting and Taking, Pulling and Pushing",5,3,1559
good,good take,well take,2,504,take,Commerce,23,8,1559
good,good skate,well skate,1,504,skate,Fish and other Water Creatures,1,1,1559
good,good beat,well beat,1,504,beat,"Bodily Conditions Relating to Health, Sickness, and Disability",4,4,1559
good,good beat,well beat,1,504,beat,Prison and Punishment,1,1,1559
good,good beat,well beat,1,504,beat,The Preparation and Quality of Food,6,4,1559
good,good beat,well beat,1,504,beat,Sports and Games Generally,18,11,1559
good,good beat,well beat,1,504,beat,Actions and Positions,2,2,1559
good,good beat,well beat,1,504,beat,"The Police, Security Services, Crime, and Criminals",1,1,1559
good,good beat,well beat,1,504,beat,Music and Related Activities,34,9,1559
good,good beat,well beat,1,504,beat,"The Trunk, Arms, and",2,2,1559
good,good prepare,well prepare,1,504,prepare,Making things,16,9,1559
good,good draw,well draw,1,504,draw,Linking and Not Linking,2,2,1559
good,good draw,well draw,1,504,draw,"Thinking, Judging and Remembering-",5,3,1559
good,good draw,well draw,1,504,draw,"Banking, Wealth, and Investment",3,2,1559
good,good draw,well draw,1,504,draw,Sports and Games Generally,18,11,1559
good,good draw,well draw,1,504,draw,"Putting and Taking, Pulling and Pushing",5,3,1559
good,good structured,well structured,1,504,structured,misc-ap-0,99,18,1559
good,good swim,well swim,1,504,swim,Sports and Games Generally,18,11,1559
good,good swim,well swim,1,504,swim,"Moving, Coming, and going",16,11,1559
good,good shop,well shop,2,504,shop,Shopping and General Expenses,2,1,1559
good,good shop,well shop,2,504,shop,Industry and Work,22,4,1559
good,good skater,well skater,1,504,skater,misc-ap-0,99,18,1559
good,good teacher,well teacher,1,504,teacher,misc-ap-0,99,18,1559
good,good correction,well correction,2,504,correction,Making things,16,9,1559
good,good correction,well correction,2,504,correction,"Rightness, Fairness, Purpose, Use, & Strength",13,7,1559
good,good arrive,well arrive,1,504,arrive,"Moving, Coming, and going",16,11,1559
good,good teach,well teach,1,504,teach,Knowing and Learning,48,9,1559
good,good listen,well listen,1,504,listen,misc-ap-0,99,18,1559
good,good happen,well happen,1,504,happen,"Being, Becoming, and Happening",11,6,1559
good,good express,well express,1,504,express,"Communicating, mainly by Speaking and Talking",41,3,1559
good,good express,well express,1,504,express,"Moving, Coming, and going",16,11,1559
good,good express,well express,1,504,express,"Being, Becoming, and Happening",11,6,1559
good,good express,well express,1,504,express,"Possibility, Chance, and Necessity",2,2,1559
good,good express,well express,1,504,express,Vehicles and Transport on Land,3,2,1559
good,good copy,well copy,2,504,copy,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,5,1559
good,good copy,well copy,2,504,copy,Making things,16,9,1559
good,good grade,well grade,1,504,grade,"Resemblance, Difference, and Change",73,2,1559
good,good many,product many,1,4,many,"Size, Importance, and Availability",1,1,1559
good,good unique,product unique,1,4,unique,"General, Usual, Unusual, etc",1,1,1559
good,good many,thing many,13,45,many,"Size, Importance, and Availability",14,2,1559
good,good valuable,thing valuable,1,45,valuable,Shopping and General Expenses,2,2,1559
good,good broken,thing broken,1,45,broken,"Bodily Conditions Relating to Health, Sickness, and Disability",1,1,1559
good,good broken,thing broken,1,45,broken,"Cutting, Joining, Breaking, and Destroying",1,1,1559
good,good broken,thing broken,1,45,broken,Law and Order Generally,1,1,1559
good,good several,thing several,1,45,several,"Size, Importance, and Availability",14,2,1559
good,good useful,thing useful,1,45,useful,"Rightness, Fairness, Purpose, Use, & Strength",1,1,1559
good,good other,thing other,1,45,other,"Resemblance, Difference, and Change",1,1,1559
good,good good,thing good,1,45,good,Good and Evil,1,1,1559
good,good good,thing good,1,45,good,Knowing and Learning,1,1,1559
good,good good,thing good,1,45,good,Weather and Temperature,1,1,1559
good,good exciting,thing exciting,1,45,exciting,"Relaxation, Excitement, Interest, and Surprise",1,1,1559
good,good favorite,thing favorite,1,45,favorite,misc-ap-0,1,1,1559
good,good new,thing new,2,45,new,"Old, New, and Young",2,1,1559
good,good new,thing new,2,45,new,Periods of Time and their Measurement,2,1,1559
good,good interesting,thing interesting,1,45,interesting,Linking and Not Linking,1,1,1559
good,good expensive,thing expensive,1,45,expensive,Shopping and General Expenses,2,2,1559
good,good order,correct order,1,1,order,Law and Order Generally,1,1,1559
good,good order,correct order,1,1,order,"Communicating, mainly by Speaking and Talking",1,1,1559
