error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
make,VERB,cause,make teenager,cause teenager,3,192,teenager,People,9,3,4016,0,0
make,VERB,cause,make people,cause people,3,192,people,People,9,3,4016,1,7
make,VERB,cause,make disaster,cause disaster,3,192,disaster,"Resemblance, Difference, and Change",5,2,4016,0,52
make,VERB,cause,make level,cause level,2,192,level,"Resemblance, Difference, and Change",5,2,4016,0,0
make,VERB,cause,make disaster,cause disaster,1,192,disaster,"Resemblance, Difference, and Change",5,2,4016,0,52
make,VERB,cause,make shortage,cause shortage,3,192,shortage,"Size, Importance, and Availability",4,2,4016,0,123
make,VERB,cause,make decline,cause decline,1,192,decline,"Size, Importance, and Availability",4,2,4016,3,93
make,VERB,cause,make shortage,cause shortage,1,192,shortage,"Size, Importance, and Availability",4,2,4016,0,123
use,VERB,wear,use clothe,wear clothe,32,123,clothe,Clothes and Personal Belongings,61,20,559,0,0
use,VERB,wear,use uniform,wear uniform,3,123,uniform,Clothes and Personal Belongings,61,20,559,0,257
use,VERB,wear,use veil,wear veil,2,123,veil,Clothes and Personal Belongings,61,20,559,0,18
use,VERB,wear,use glass,wear glass,5,123,glass,"Equipment, Machines, and Instruments",9,3,559,1,1
use,VERB,wear,use contact,wear contact,2,123,contact,"Equipment, Machines, and Instruments",9,3,559,0,2
use,VERB,wear,use watch,wear watch,2,123,watch,"Equipment, Machines, and Instruments",9,3,559,2,18
use,VERB,wear,use mask,wear mask,6,123,mask,Parts of Animals,8,3,559,17,156
use,VERB,wear,use hair,wear hair,1,123,hair,Parts of Animals,8,3,559,4,56
use,VERB,wear,use tooth,wear tooth,1,123,tooth,Parts of Animals,8,3,559,0,0
use,VERB,wear,use person,wear person,1,123,person,People,12,5,559,0,2
use,VERB,wear,use cousin,wear cousin,1,123,cousin,People,12,5,559,0,0
use,VERB,wear,use father,wear father,1,123,father,People,12,5,559,0,0
use,VERB,wear,use wheel,wear wheel,2,123,wheel,Vehicles and Transport on Land,8,5,559,0,2
use,VERB,wear,use bottom,wear bottom,1,123,bottom,Vehicles and Transport on Land,8,5,559,3,4
use,VERB,spend,use time,spend time,23,106,time,Time Generally,25,2,559,91,1563
use,VERB,spend,use time,spend time,1,106,time,Time Generally,25,2,559,91,1563
use,VERB,spend,use lot,spend lot,18,106,lot,Places,18,1,559,109,456
use,VERB,spend,use lot,spend lot,1,106,lot,Places,18,1,559,109,456
use,VERB,spend,use day,spend day,6,106,day,Periods of Time and their Measurement,12,3,559,2,550
use,VERB,spend,use hour,spend hour,4,106,hour,Periods of Time and their Measurement,12,3,559,0,1
use,VERB,spend,use weekend,spend weekend,2,106,weekend,Periods of Time and their Measurement,12,3,559,0,0
use,VERB,spend,use dollar,spend dollar,3,106,dollar,Money,49,3,559,0,211
use,VERB,spend,use dollar,spend dollar,1,106,dollar,Money,49,3,559,0,211
use,VERB,spend,use reading,spend reading,1,106,reading,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",1,1,559,6,12
use,VERB,utilize,use tool,utilize tool,63,186,tool,"Equipment, Machines, and Instruments",75,4,559,1,2
use,VERB,utilize,use individual,utilize individual,13,186,individual,People,31,4,559,0,0
use,VERB,utilize,use mode,utilize mode,5,186,mode,Arts and Crafts,10,2,559,0,0
use,VERB,utilize,use one,utilize one,1,186,one,General Grammatical Words,1,1,559,0,0
use,VERB,have,use person,have person,1,10,person,People,12,5,559,0,102
use,VERB,have,use individual,have individual,1,10,individual,People,31,4,559,0,35
use,VERB,have,use guy,have guy,1,10,guy,People,2,2,559,1,144
use,VERB,have,use story,have story,1,10,story,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",1,1,559,32,203
use,VERB,have,use reading,have reading,1,10,reading,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",1,1,559,6,53
use,VERB,have,use fire,have fire,1,10,fire,Specific Substance and Materials,3,2,559,13,102
use,VERB,have,use water,have water,1,10,water,Specific Substance and Materials,3,2,559,3,195
use,VERB,have,use chance,have chance,1,10,chance,"Possibility, Chance, and Necessity",7,3,559,0,2833
use,VERB,have,use opportunity,have opportunity,1,10,opportunity,"Possibility, Chance, and Necessity",7,3,559,71,1219
use,VERB,have,use lot,have lot,1,10,lot,Places,18,1,559,109,2199
use,VERB,have,use environment,have environment,1,10,environment,Places,1,1,559,0,54
use,VERB,take,use chance,take chance,3,17,chance,"Possibility, Chance, and Necessity",7,3,559,0,3
use,VERB,take,use opportunity,take opportunity,2,17,opportunity,"Possibility, Chance, and Necessity",7,3,559,71,188
use,VERB,take,use opportunity,take opportunity,1,17,opportunity,"Possibility, Chance, and Necessity",7,3,559,71,188
use,VERB,take,use picture,take picture,1,17,picture,Arts and Crafts,2,2,559,1,1
use,VERB,take,use reading,take reading,1,17,reading,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",1,1,559,6,35
use,VERB,take,use word,take word,1,17,word,"Communicating, mainly by Speaking and Talking",1,1,559,1,101
use,VERB,take,use food,take food,1,17,food,Food Generally,2,1,559,1,69
use,VERB,employ,use computer,employ computer,28,22,computer,Mathematics,28,1,559,4,6
use,VERB,employ,use technology,employ technology,7,22,technology,Science and Technology,7,1,559,9,37
use,VERB,employ,use technology,employ technology,1,22,technology,Science and Technology,7,1,559,9,37
use,VERB,employ,use tool,employ tool,5,22,tool,"Equipment, Machines, and Instruments",5,1,559,1,6
use,VERB,employ,use human,employ human,3,22,human,People,3,1,559,1,1
use,VERB,employ,use dimension,employ dimension,2,22,dimension,Measurement,2,1,559,0,0
use,VERB,make,use water,make water,2,6,water,Specific Substance and Materials,3,2,559,3,36
use,VERB,make,use fire,make fire,1,6,fire,Specific Substance and Materials,3,2,559,13,24
use,VERB,make,use water,make water,1,6,water,Specific Substance and Materials,3,2,559,3,36
use,VERB,make,use situation,make situation,1,6,situation,Places,4,2,559,22,57
use,VERB,make,use lot,make lot,1,6,lot,Places,18,1,559,109,565
use,VERB,make,use job,make job,1,6,job,"Business, Work, and Employment",1,1,559,0,170
use,VERB,make,use conversation,make conversation,1,6,conversation,"Communicating, mainly by Speaking and Talking",1,1,559,0,1
use,VERB,make,use food,make food,1,6,food,Food Generally,2,1,559,1,64
person,NOUN,people,person many,people many,150,1827,many,"Size, Importance, and Availability",228,14,1888,0,5
person,NOUN,people,person more,people more,19,1827,more,"Size, Importance, and Availability",228,14,1888,0,7
person,NOUN,people,person few,people few,15,1827,few,"Size, Importance, and Availability",228,14,1888,1,1
person,NOUN,people,person other,people other,143,1827,other,"Resemblance, Difference, and Change",185,6,1888,0,0
person,NOUN,people,person different,people different,21,1827,different,"Resemblance, Difference, and Change",185,6,1888,0,0
person,NOUN,people,person such,people such,8,1827,such,"Resemblance, Difference, and Change",185,6,1888,0,0
person,NOUN,people,person old,people old,41,1827,old,"Old, New, and Young",107,7,1888,0,2
person,NOUN,people,person young,people young,31,1827,young,"Old, New, and Young",107,7,1888,0,83
person,NOUN,people,person elderly,people elderly,22,1827,elderly,"Old, New, and Young",107,7,1888,0,0
person,NOUN,people,person good,people good,31,1827,good,Good and Evil,92,15,1888,0,0
person,NOUN,people,person nice,people nice,20,1827,nice,Good and Evil,92,15,1888,0,0
person,NOUN,people,person great,people great,12,1827,great,Good and Evil,92,15,1888,0,0
person,NOUN,people,person important,people important,25,1827,important,"Possibility, Chance, and Necessity",54,7,1888,0,0
person,NOUN,people,person positive,people positive,17,1827,positive,"Possibility, Chance, and Necessity",54,7,1888,1,6
person,NOUN,people,person lucky,people lucky,4,1827,lucky,"Possibility, Chance, and Necessity",54,7,1888,0,0
person,NOUN,individual,person foreign,individual foreign,3,29,foreign,Social Organization in Group and Places,4,2,1888,0,0
person,NOUN,individual,person social,individual social,1,29,social,Social Organization in Group and Places,4,2,1888,0,0
person,NOUN,individual,person distinct,individual distinct,1,29,distinct,"Resemblance, Difference, and Change",2,2,1888,0,0
person,NOUN,individual,person other,individual other,1,29,other,"Resemblance, Difference, and Change",2,2,1888,0,0
person,NOUN,individual,person close,individual close,1,29,close,Friendship and Enmity,1,1,1888,11,19
person,NOUN,individual,person humanity,individual humanity,1,29,humanity,People,1,1,1888,0,0
person,NOUN,individual,person more,individual more,1,29,more,"Size, Importance, and Availability",228,14,1888,0,33
person,NOUN,character,person favourite,character favourite,1,3,favourite,Linking and Not Linking,1,1,1888,0,0
person,NOUN,character,person dangerous,character dangerous,1,3,dangerous,"Possibility, Chance, and Necessity",1,1,1888,0,0
person,NOUN,character,person main,character main,1,3,main,"Size, Importance, and Availability",1,1,1888,0,0
person,NOUN,one,person precious,one precious,2,8,precious,Shopping and General Expenses,2,1,1888,0,0
person,NOUN,citizen,person global,citizen global,2,3,global,Objects Generally,2,1,1888,0,0
person,NOUN,citizen,person senior,citizen senior,2,3,senior,"Old, New, and Young",2,1,1888,0,1
person,NOUN,different,person kind,different kind,1,1,kind,"Being, Becoming, and Happening",23,5,1888,0,352
person,NOUN,different,person more,different more,1,1,more,"Size, Importance, and Availability",228,14,1888,0,41
person,NOUN,different,person people,different people,1,1,people,Social Organization in Group and Places,1,1,1888,12,143
person,NOUN,different,person goal,different goal,1,1,goal,Sports and Games Generally,1,1,1888,0,19
person,NOUN,different,person part,different part,1,1,part,"The Skin, the Complexion, and the Hair",1,1,1888,0,139
person,NOUN,actor,person main,actor main,3,3,main,"Size, Importance, and Availability",3,1,1888,0,0
bring,VERB,take,bring daughter,take daughter,8,506,daughter,People,55,15,699,28,47
bring,VERB,take,bring father,take father,5,506,father,People,55,15,699,3,12
bring,VERB,take,bring son,take son,5,506,son,People,55,15,699,32,56
bring,VERB,take,bring car,take car,10,506,car,Vehicles and Transport on Land,23,8,699,0,87
bring,VERB,take,bring bicycle,take bicycle,4,506,bicycle,Vehicles and Transport on Land,23,8,699,0,2
bring,VERB,take,bring fan,take fan,2,506,fan,Vehicles and Transport on Land,23,8,699,7,8
bring,VERB,take,bring box,take box,6,506,box,Containers,22,10,699,8,10
bring,VERB,take,bring bottle,take bottle,4,506,bottle,Containers,22,10,699,10,15
bring,VERB,take,bring bag,take bag,4,506,bag,Containers,22,10,699,10,25
bring,VERB,take,bring book,take book,8,506,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,22,30
bring,VERB,take,bring notebook,take notebook,3,506,notebook,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,1
bring,VERB,take,bring piece,take piece,2,506,piece,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,0
bring,VERB,take,bring wife,take wife,5,506,wife,"Courting, Sex, and Marriage",8,4,699,30,63
bring,VERB,take,bring lover,take lover,1,506,lover,"Courting, Sex, and Marriage",8,4,699,3,9
bring,VERB,take,bring couple,take couple,1,506,couple,"Courting, Sex, and Marriage",8,4,699,0,109
bring,VERB,get,bring bus,get bus,4,41,bus,Vehicles and Transport on Land,8,4,699,0,10
bring,VERB,get,bring bicycle,get bicycle,2,41,bicycle,Vehicles and Transport on Land,8,4,699,0,0
bring,VERB,get,bring boot,get boot,1,41,boot,Vehicles and Transport on Land,8,4,699,0,17
bring,VERB,get,bring book,get book,2,41,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",5,4,699,22,68
bring,VERB,get,bring textbook,get textbook,1,41,textbook,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",5,4,699,0,0
bring,VERB,get,bring letter,get letter,1,41,letter,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",5,4,699,19,226
bring,VERB,get,bring gas,get gas,2,41,gas,Specific Substance and Materials,5,4,699,0,22
bring,VERB,get,bring fuel,get fuel,1,41,fuel,Specific Substance and Materials,5,4,699,0,0
bring,VERB,get,bring cloth,get cloth,1,41,cloth,Specific Substance and Materials,5,4,699,13,27
bring,VERB,get,bring woman,get woman,1,41,woman,People,55,15,699,0,69
bring,VERB,get,bring girl,get girl,1,41,girl,People,55,15,699,0,33
bring,VERB,get,bring baby,get baby,1,41,baby,People,2,2,699,20,35
bring,VERB,get,bring owner,get owner,1,41,owner,Residence,2,2,699,4,11
bring,VERB,get,bring house,get house,1,41,house,Residence,1,1,699,0,96
bring,VERB,have,bring effect,have effect,5,23,effect,Causing,6,2,699,7,3733
bring,VERB,have,bring consequence,have consequence,1,23,consequence,Causing,6,2,699,7,310
bring,VERB,have,bring effect,have effect,1,23,effect,Causing,6,2,699,7,3733
bring,VERB,have,bring movie,have movie,1,23,movie,Communication and Information,1,1,699,0,69
bring,VERB,have,bring magazine,have magazine,1,23,magazine,Communication and Information,15,7,699,0,31
bring,VERB,have,bring picture,have picture,1,23,picture,Communication and Information,15,7,699,0,223
bring,VERB,have,bring individual,have individual,1,23,individual,People,1,1,699,3,35
bring,VERB,have,bring daughter,have daughter,1,23,daughter,People,55,15,699,28,301
bring,VERB,have,bring woman,have woman,1,23,woman,People,55,15,699,0,129
bring,VERB,have,bring plan,have plan,1,23,plan,"Thinking, Judging and Remembering-",1,1,699,31,2245
bring,VERB,have,bring motivation,have motivation,1,23,motivation,"Thinking, Judging and Remembering-",3,3,699,0,43
bring,VERB,have,bring reason,have reason,1,23,reason,"Thinking, Judging and Remembering-",3,3,699,0,1293
bring,VERB,have,bring book,have book,1,23,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,22,173
bring,VERB,have,bring type,have type,1,23,type,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,145
bring,VERB,have,bring piece,have piece,1,23,piece,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,123
bring,VERB,give,bring motivation,give motivation,1,19,motivation,"Thinking, Judging and Remembering-",3,3,699,0,0
bring,VERB,give,bring reason,give reason,1,19,reason,"Thinking, Judging and Remembering-",3,3,699,0,654
bring,VERB,give,bring plan,give plan,1,19,plan,"Thinking, Judging and Remembering-",1,1,699,31,83
bring,VERB,give,bring organization,give organization,2,19,organization,Causing,3,2,699,0,23
bring,VERB,give,bring attention,give attention,1,19,attention,Causing,1,1,699,91,201
bring,VERB,give,bring book,give book,1,19,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,22,36
bring,VERB,give,bring letter,give letter,1,19,letter,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",5,4,699,19,37
bring,VERB,give,bring feeling,give feeling,2,19,feeling,Feeling and Behavior Generally,2,1,699,0,15
bring,VERB,give,bring gift,give gift,1,19,gift,"Belonging and Owning, Getting and Giving",1,1,699,20,98
bring,VERB,buy,bring product,buy product,2,14,product,Making things,2,1,699,71,301
bring,VERB,buy,bring product,buy product,1,14,product,Making things,2,1,699,71,301
bring,VERB,buy,bring shirt,buy shirt,2,14,shirt,Clothes and Personal Belongings,3,2,699,0,21
bring,VERB,buy,bring coat,buy coat,1,14,coat,Clothes and Personal Belongings,3,2,699,0,6
bring,VERB,buy,bring set,buy set,1,14,set,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,45
bring,VERB,buy,bring piece,buy piece,1,14,piece,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,78
bring,VERB,buy,bring paper,buy paper,1,14,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,6,63
bring,VERB,buy,bring phone,buy phone,1,14,phone,Communication and Information,2,2,699,2,2
bring,VERB,buy,bring magazine,buy magazine,1,14,magazine,Communication and Information,15,7,699,0,51
bring,VERB,buy,bring newspaper,buy newspaper,1,14,newspaper,Communication and Information,1,1,699,4,58
bring,VERB,buy,bring lot,buy lot,1,14,lot,Places,1,1,699,62,109
bring,VERB,carry,bring book,carry book,9,18,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",10,2,699,22,25
bring,VERB,carry,bring textbook,carry textbook,1,18,textbook,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",10,2,699,0,0
bring,VERB,carry,bring letter,carry letter,1,18,letter,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",5,4,699,19,52
bring,VERB,carry,bring luggage,carry luggage,1,18,luggage,Containers,2,2,699,3,15
bring,VERB,carry,bring bag,carry bag,1,18,bag,Containers,2,2,699,10,62
bring,VERB,carry,bring case,carry case,1,18,case,Containers,22,10,699,423,31
bring,VERB,carry,bring umbrella,carry umbrella,1,18,umbrella,Clothes and Personal Belongings,1,1,699,0,9
bring,VERB,carry,bring picture,carry picture,1,18,picture,Communication and Information,15,7,699,0,33
bring,VERB,carry,bring passport,carry passport,1,18,passport,Law and Order Generally,1,1,699,0,44
bring,VERB,make,bring type,make type,1,10,type,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,47
bring,VERB,make,bring set,make set,1,10,set,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,48
bring,VERB,make,bring piece,make piece,1,10,piece,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",20,8,699,0,54
bring,VERB,make,bring tour,make tour,1,10,tour,Travel and Visiting,9,2,699,2,51
bring,VERB,make,bring visit,make visit,1,10,visit,Travel and Visiting,1,1,699,0,340
bring,VERB,make,bring impression,make impression,1,10,impression,"Thinking, Judging and Remembering-",1,1,699,0,1
bring,VERB,make,bring plan,make plan,1,10,plan,"Thinking, Judging and Remembering-",1,1,699,31,514
bring,VERB,make,bring attempt,make attempt,1,10,attempt,Doing Things,2,2,699,0,543
bring,VERB,make,bring success,make success,1,10,success,Doing Things,2,2,699,18,39
bring,VERB,make,bring situation,make situation,1,10,situation,Places,1,1,699,26,57
bring,VERB,make,bring lot,make lot,1,10,lot,Places,1,1,699,62,565
get,VERB,have,get problem,have problem,46,941,problem,"Bodily Conditions Relating to Health, Sickness, and Disability",75,11,3029,202,4282
get,VERB,have,get pain,have pain,5,941,pain,"Bodily Conditions Relating to Health, Sickness, and Disability",75,11,3029,5,75
get,VERB,have,get stroke,have stroke,2,941,stroke,"Bodily Conditions Relating to Health, Sickness, and Disability",75,11,3029,0,55
get,VERB,have,get time,have time,49,941,time,Time Generally,68,9,3029,0,2555
get,VERB,have,get future,have future,3,941,future,Time Generally,68,9,3029,8,240
get,VERB,have,get minute,have minute,3,941,minute,Time Generally,68,9,3029,0,0
get,VERB,have,get accident,have accident,26,941,accident,"Being, Becoming, and Happening",58,14,3029,0,122
get,VERB,have,get trouble,have trouble,12,941,trouble,"Being, Becoming, and Happening",58,14,3029,31,2040
get,VERB,have,get chance,have chance,4,941,chance,"Being, Becoming, and Happening",58,14,3029,654,2833
get,VERB,have,get experience,have experience,40,941,experience,Feeling and Behavior Generally,51,8,3029,55,1063
get,VERB,have,get feeling,have feeling,4,941,feeling,Feeling and Behavior Generally,51,8,3029,216,690
get,VERB,have,get hope,have hope,1,941,hope,Feeling and Behavior Generally,51,8,3029,0,511
get,VERB,have,get baby,have baby,14,941,baby,People,55,14,3029,35,388
